No Of Ratios, Avg Ratio, TTC
Detector,SHITOMASI,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,2211, 1.00702, 14.2515
2,2346, 1.00727, 13.7572
3,2211, 1.00705, 14.1861
4,2415, 1.00862, 11.6
5,2628, 1.00713, 14.028
6,2415, 1.00157, 63.6192
7,3240, 1.00873, 11.4596
8,3081, 1.00662, 15.1041
9,2775, 1.00886, 11.2894
10,2628, 1.00374, 26.7399
11,2415, 1.0094, 10.6403
12,3240, 1.00969, 10.3187
13,3655, 1.00908, 11.0138
14,2926, 1.00919, 10.8858
15,2926, 1.0125, 7.99882
16,2701, 1.0085, 11.7604
17,3003, 1.00942, 10.6212
18,3321, 1.01268, 7.88439
Detector,SHITOMASI,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,3655, 1.00682, 14.6612
2,4560, 1.00771, 12.9719
3,5565, 1.00847, 11.8049
4,4753, 1.00749, 13.3479
5,4851, 1.00636, 15.7337
6,4186, 1.00593, 16.8615
7,4851, 1.00718, 13.9238
8,5253, 1.00772, 12.9487
9,4560, 1.008, 12.504
10,4465, 1.00656, 15.2389
11,4095, 1.00831, 12.0367
12,5460, 1.00902, 11.0804
13,5460, 1.00865, 11.5636
14,4950, 1.00984, 10.1656
15,4371, 1.00895, 11.1774
16,5253, 1.0115, 8.69767
17,4656, 1.00898, 11.1303
18,5253, 1.01281, 7.80726
Detector,SHITOMASI,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,3160, 1.0072, 13.889
2,4095, 1.00926, 10.8013
3,4186, 1.00705, 14.1821
4,4095, 1.00841, 11.8915
5,4095, 1.00748, 13.3604
6,3655, 1.00524, 19.0943
7,4095, 1.00898, 11.1376
8,4560, 1.00752, 13.3032
9,3916, 1.00893, 11.2023
10,4095, 1.00498, 20.0618
11,3486, 1.00851, 11.7534
12,4560, 1.00925, 10.8148
13,4851, 1.00862, 11.6034
14,3828, 1.00919, 10.8858
15,3741, 1.01054, 9.48797
16,4186, 1.01037, 9.64653
17,4371, 1.00965, 10.3634
18,4753, 1.01327, 7.53456
Detector,FAST,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,2701, 1.00653, 15.3147
2,3160, 1.00262, 38.1236
3,4278, 1.00769, 13.0039
4,3240, 1.00439, 22.7899
5,3240, 1, -inf
6,3321, 1.00656, 15.2452
7,3570, 1.00162, 61.5487
8,3570, 1.00893, 11.1975
9,3403, 1.00332, 30.102
10,3570, 1.00437, 22.8737
11,2701, 1.00648, 15.4412
12,4851, 1.00865, 11.5668
13,4753, 1.00768, 13.0277
14,3916, 1.00837, 11.9446
15,3828, 1.00993, 10.0735
16,4095, 1.0089, 11.2304
17,5050, 1.01129, 8.85581
18,4278, 1.00876, 11.4201
Detector,FAST,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,4465, 1.00707, 14.1514
2,5886, 1.00742, 13.4851
3,6555, 1.00677, 14.7628
4,5886, 1.0035, 28.6004
5,5886, 1.00527, 18.9903
6,5460, 1.00614, 16.2739
7,6105, 1.00295, 33.8499
8,6328, 1.00656, 15.2437
9,5253, 1.00395, 25.3006
10,6216, 1.00706, 14.1601
11,5460, 1.00601, 16.6385
12,7503, 1.00875, 11.4231
13,7381, 1.00785, 12.7336
14,6328, 1.00895, 11.1762
15,7381, 1.00816, 12.2585
16,6903, 1.009, 11.1081
17,9316, 1.01195, 8.36974
18,6903, 1.00894, 11.1887
Detector,FAST,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,3741, 1.00745, 13.4305
2,5778, 1.00724, 13.8123
3,6555, 1.0083, 12.054
4,5050, 1.00502, 19.9276
5,5050, 1.00424, 23.6126
6,5050, 1.00671, 14.9011
7,5460, 1.0051, 19.6104
8,5460, 1.00778, 12.8588
9,4753, 1.00356, 28.0573
10,5565, 1.00677, 14.7747
11,4950, 1.00682, 14.6693
12,7140, 1.00858, 11.6546
13,6441, 1.0079, 12.6532
14,5356, 1.00912, 10.963
15,5886, 1.00829, 12.0606
16,6105, 1.01017, 9.83317
17,8001, 1.01183, 8.4558
18,6105, 1.01001, 9.9932
Detector,BRISK,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,8385, 1.00581, 17.2044
2,12402, 1.00505, 19.8068
3,16836, 1.00773, 12.933
4,13203, 1.00606, 16.4899
5,9045, 1.00319, 31.3308
6,11026, 1.00611, 16.3721
7,12090, 1.00567, 17.634
8,11325, 1.00687, 14.5557
9,12090, 1.00615, 16.257
10,13041, 1.00611, 16.3706
11,11476, 1.00798, 12.5273
12,16471, 1.00837, 11.9532
13,15753, 1.00814, 12.2858
14,15051, 1.00888, 11.2551
15,16290, 1.0085, 11.7668
16,15752, 1.00962, 10.3952
17,20502, 1.01138, 8.78608
18,21528, 1.00989, 10.1145
Detector,BRISK,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,14196, 1.00594, 16.8288
2,19109, 1.00582, 17.1857
3,23436, 1.00756, 13.2321
4,20910, 1.0054, 18.5149
5,15753, 1.00378, 26.4257
6,15753, 1.0054, 18.5302
7,18528, 1.00527, 18.9604
8,16471, 1.00594, 16.826
9,17955, 1.00582, 17.1875
10,18914, 1.00805, 12.4162
11,16836, 1.00842, 11.8762
12,25651, 1.00563, 17.758
13,21115, 1.00727, 13.7461
14,21321, 1.00923, 10.8388
15,23653, 1.00943, 10.6056
16,24752, 1.00847, 11.8015
17,33669, 1.01002, 9.98468
18,28441, 1.01051, 9.51379
Detector,BRISK,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,8778, 1.00531, 18.8429
2,12560, 1.00547, 18.274
3,16471, 1.00696, 14.3675
4,10878, 1.00589, 16.9895
5,10296, 1.00432, 23.1621
6,10440, 1.00635, 15.7483
7,13041, 1.00531, 18.8443
8,12090, 1.00654, 15.3018
9,11935, 1.00742, 13.4793
