No Of Ratios, Avg Ratio, TTC
Detector,SHITOMASI,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,2211, 1.00826, 12.0996
2,2346, 1.00845, 11.8362
3,2211, 1.00794, 12.5894
4,2415, 1.00909, 11.0036
5,2628, 1.00847, 11.8048
6,2415, 1.00416, 24.027
7,3240, 1.00949, 10.5365
8,3081, 1.00781, 12.7988
9,2775, 1.00955, 10.471
10,2628, 1.00459, 21.799
11,2415, 1.0104, 9.61463
12,3240, 1.01042, 9.60122
13,3655, 1.01013, 9.87101
14,2926, 1.00949, 10.5337
15,2926, 1.01359, 7.36015
16,2701, 1.00956, 10.4602
17,3003, 1.0096, 10.421
18,3321, 1.01369, 7.30344
Detector,SHITOMASI,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,3655, 1.009, 11.1151
2,4560, 1.00897, 11.153
3,5565, 1.00985, 10.1472
4,4753, 1.0059, 16.9368
5,4851, 1.00323, 30.992
6,4186, 1.0067, 14.9215
7,4851, 1.00689, 14.5089
8,5253, 1.00937, 10.6777
9,4560, 1.00535, 18.7001
10,4465, 1.00699, 14.315
11,4095, 1.00747, 13.3808
12,5460, 1.00792, 12.6304
13,5460, 1.01012, 9.8833
14,4950, 1.01003, 9.97128
15,4371, 1.0078, 12.8131
16,5253, 1.01429, 6.99988
17,4656, 1.00902, 11.0871
18,5253, 1.01283, 7.79244
Detector,SHITOMASI,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,3160, 1.00933, 10.7228
2,4095, 1.01362, 7.34338
3,4186, 1.0086, 11.6248
4,4095, 1.00775, 12.9098
5,4095, 1.00741, 13.4908
6,3655, 1.00689, 14.5077
7,4095, 1.00991, 10.091
8,4560, 1.00903, 11.0709
9,3916, 1.01053, 9.50031
10,4095, 1.00566, 17.664
11,3486, 1.00942, 10.6151
12,4560, 1.00793, 12.6103
13,4851, 1.00858, 11.6504
14,3828, 1.00902, 11.0873
15,3741, 1.01072, 9.32407
16,4186, 1.01416, 7.06009
17,4371, 1.00991, 10.0862
18,4753, 1.01424, 7.02112
Detector,FAST,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,2701, 1.00502, 19.9278
2,3160, 0.99995, -2012.37
3,4278, 1.00996, 10.0371
4,3240, 1.00345, 29.0248
5,3240, 1.0102, 9.8056
6,3321, 1.00595, 16.8008
7,3570, 1.00504, 19.8607
8,3570, 1.01, 10.0009
9,3403, 1.00655, 15.2699
10,3570, 1.00677, 14.7682
11,2701, 1.00906, 11.0334
12,4851, 1.00918, 10.8959
13,4753, 1.00637, 15.6945
14,3916, 1.00866, 11.5486
15,3828, 1.01129, 8.85881
16,4095, 1.00952, 10.5003
17,5050, 1.0147, 6.80332
18,4278, 1.00917, 10.9031
Detector,FAST,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,4465, 1.00251, 39.8123
2,5886, 1.00716, 13.9711
3,6555, 1.00799, 12.5229
4,5886, 1.00326, 30.7198
5,5886, 1.01259, 7.94463
6,5460, 1.0044, 22.7416
7,6105, 1.00225, 44.4301
8,6328, 1.00357, 28.0457
9,5253, 1.00575, 17.4054
10,6216, 1.01307, 7.65336
11,5460, 1.00533, 18.757
12,7503, 1.00807, 12.3943
13,7381, 1.00712, 14.0396
14,6328, 1.00734, 13.632
15,7381, 1.00635, 15.7414
16,6903, 1.01099, 9.09697
17,9316, 1.01185, 8.44078
18,6903, 1.00964, 10.3732
Detector,FAST,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,3741, 1.0065, 15.387
2,5778, 1.00505, 19.8095
3,6555, 1.01096, 9.12576
4,5050, 1.0044, 22.7522
5,5050, 1.00999, 10.0053
6,5050, 1.00553, 18.0863
7,5460, 1.0063, 15.8667
8,5460, 1.00873, 11.4568
9,4753, 1.00683, 14.645
10,5565, 1.01306, 7.65719
11,4950, 1.01037, 9.64613
12,7140, 1.00781, 12.8023
13,6441, 1.00733, 13.6411
14,5356, 1.0089, 11.2392
15,5886, 1.00668, 14.9789
16,6105, 1.01325, 7.54577
17,8001, 1.01259, 7.94026
18,6105, 1.0113, 8.84589
Detector,BRISK,Descriptor,BRISK
Frame #, No Of Ratios, Avg Ratio, TTC
1,8385, 1.00371, 26.977
2,12402, 1.00613, 16.314
3,16836, 1.00971, 10.3017
4,13203, 1.00761, 13.1392
5,9045, 1.00549, 18.2228
6,11026, 1.00538, 18.6005
7,12090, 1.00496, 20.1674
8,11325, 1.00994, 10.059
9,12090, 1.00876, 11.4148
10,13041, 1.00705, 14.1911
11,11476, 1.00706, 14.1633
12,16471, 1.00944, 10.5904
13,15753, 1.00967, 10.3382
14,15051, 1.00973, 10.2788
15,16290, 1.00844, 11.853
16,15752, 1.01114, 8.97737
17,20502, 1.01483, 6.74243
18,21528, 1.01297, 7.71299
Detector,BRISK,Descriptor,BRIEF
Frame #, No Of Ratios, Avg Ratio, TTC
1,14196, 1.00196, 51.0795
2,19109, 1.00651, 15.3578
3,23436, 1.00887, 11.2689
4,20910, 1.00469, 21.2995
5,15753, 1.00425, 23.5259
6,15753, 1.00487, 20.522
7,18528, 1.00316, 31.6361
8,16471, 1.00474, 21.1114
9,17955, 1.00559, 17.9023
10,18914, 1.00877, 11.4082
11,16836, 1.00609, 16.4072
12,25651, 1.00394, 25.3741
13,21115, 1.0043, 23.2777
14,21321, 1.00884, 11.3129
15,23653, 1.00847, 11.8006
16,24752, 1.00874, 11.4442
17,33669, 1.00825, 12.1174
18,28441, 1.01198, 8.34687
Detector,BRISK,Descriptor,ORB
Frame #, No Of Ratios, Avg Ratio, TTC
1,8778, 31.3814, 0.00329149
2,12560, 1.0082, 12.2006
3,16471, 1.01984, 5.04094
4,10878, 1.00456, 21.9289
5,10296, 1.01103, 9.06516
6,10440, 1.00698, 14.3257
7,13041, 1.0056, 17.8433
8,12090, 1.00779, 12.8296
9,11935, 1.01017, 9.83282
