Delta X,Current X,Speed,Avg Speed,TTC
0.0569999, 7.934, 0.569999, 0.569999, 13.9193
0.0640001, 7.87, 0.640001, 0.605, 12.2969
0.0339998, 7.836, 0.339998, 0.516666, 23.0472
0.0680003, 7.768, 0.680003, 0.5575, 11.4235
0.0649999, 7.703, 0.649999, 0.576, 11.8508
0.0649999, 7.638, 0.649999, 0.588333, 11.7508
0.0540003, 7.584, 0.540003, 0.581429, 14.0444
0.0359999, 7.548, 0.359999, 0.55375, 20.9667
0.0609999, 7.487, 0.609999, 0.56, 12.2738
0.0549999, 7.432, 0.549999, 0.559, 13.5128
0.0620002, 7.37, 0.620002, 0.564546, 11.8871
0.0730001, 7.297, 0.730001, 0.578333, 9.99588
0.0840001, 7.213, 0.840001, 0.598462, 8.5869
0.0649996, 7.148, 0.649996, 0.602143, 10.997
0.0890004, 7.059, 0.890004, 0.621333, 7.93143
0.0789997, 6.98, 0.789997, 0.631875, 8.83548
0.0670002, 6.913, 0.670002, 0.634118, 10.3179
0.0659998, 6.847, 0.659998, 0.635555, 10.3743
